,follower_id,influencer_id,himself_id
0,12472,41874.0,631774
1,13508,45057.0,631774
2,13583,46699.0,631774
3,14201,66915.0,631774
4,15694,74134.0,631774
5,19297,76881.0,631774
6,21492,81083.0,631774
7,21744,93533.0,631774
8,29978,102050.0,631774
9,30431,174557.0,631774
10,38061,175553.0,631774
11,38490,266160.0,631774
12,38936,538677.0,631774
13,42993,577720.0,631774
14,47789,754032.0,631774
15,51376,807489.0,631774
16,51992,840102.0,631774
17,52382,894465.0,631774
18,58549,941579.0,631774
19,59293,987491.0,631774
20,61938,,631774
21,62609,,631774
22,62860,,631774
23,64149,,631774
24,66869,,631774
25,71209,,631774
26,78741,,631774
27,85776,,631774
28,87179,,631774
29,89018,,631774
30,93566,,631774
31,104455,,631774
32,127898,,631774
33,128266,,631774
34,130173,,631774
35,130689,,631774
36,130932,,631774
37,131581,,631774
38,135543,,631774
39,136871,,631774
40,144847,,631774
41,151290,,631774
42,162233,,631774
43,166785,,631774
44,173647,,631774
45,180263,,631774
46,182900,,631774
47,184091,,631774
48,194703,,631774
49,198302,,631774
50,199995,,631774
51,204386,,631774
52,208303,,631774
53,212131,,631774
54,218994,,631774
55,219483,,631774
56,222927,,631774
57,224186,,631774
58,224294,,631774
59,254215,,631774
60,259561,,631774
61,280960,,631774
62,287917,,631774
63,297894,,631774
64,314600,,631774
65,325443,,631774
66,325459,,631774
67,343455,,631774
68,350840,,631774
69,358820,,631774
70,359016,,631774
71,371879,,631774
72,377908,,631774
73,387530,,631774
74,388972,,631774
75,398259,,631774
76,401287,,631774
77,419102,,631774
78,463435,,631774
79,467382,,631774
80,478426,,631774
81,482572,,631774
82,483587,,631774
83,486645,,631774
84,489209,,631774
85,491802,,631774
86,492037,,631774
87,492331,,631774
88,498484,,631774
89,501081,,631774
90,501802,,631774
91,503283,,631774
92,530745,,631774
93,545726,,631774
94,564239,,631774
95,564333,,631774
96,564726,,631774
97,569914,,631774
98,574143,,631774
99,583478,,631774
100,585896,,631774
101,597094,,631774
102,610346,,631774
103,610706,,631774
104,612716,,631774
105,614455,,631774
106,620603,,631774
107,621423,,631774
108,628981,,631774
109,639053,,631774
110,643755,,631774
111,647796,,631774
112,657041,,631774
113,669303,,631774
114,671452,,631774
115,683686,,631774
116,685647,,631774
117,686897,,631774
118,687487,,631774
119,692251,,631774
120,746010,,631774
121,746302,,631774
122,749132,,631774
123,752673,,631774
124,753833,,631774
125,753963,,631774
126,757177,,631774
127,759031,,631774
128,760154,,631774
129,762177,,631774
130,763611,,631774
131,764181,,631774
132,766361,,631774
133,768231,,631774
134,784760,,631774
135,800926,,631774
136,808336,,631774
137,811622,,631774
138,814312,,631774
139,814852,,631774
140,815537,,631774
141,825793,,631774
142,838559,,631774
143,840102,,631774
144,840402,,631774
145,853492,,631774
146,866841,,631774
147,898479,,631774
148,898828,,631774
149,926307,,631774
150,936190,,631774
151,939567,,631774
152,947563,,631774
153,956088,,631774
154,958768,,631774
155,988440,,631774
156,1002017,,631774
157,1072350,,631774
