,follower_id,influencer_id,himself_id
0,17877,13511.0,607448
1,20278,46861.0,607448
2,20760,108826.0,607448
3,32971,118544.0,607448
4,35338,128099.0,607448
5,43520,162820.0,607448
6,45313,164594.0,607448
7,61226,168958.0,607448
8,78044,210323.0,607448
9,82149,238115.0,607448
10,83095,269972.0,607448
11,85410,280445.0,607448
12,96379,282709.0,607448
13,101895,303050.0,607448
14,117356,309328.0,607448
15,122219,316834.0,607448
16,130922,414251.0,607448
17,131650,524239.0,607448
18,134600,569685.0,607448
19,147082,578744.0,607448
20,148305,668448.0,607448
21,152973,677781.0,607448
22,168256,769876.0,607448
23,176358,805208.0,607448
24,181376,821571.0,607448
25,206241,838195.0,607448
26,208076,927555.0,607448
27,232869,2993710.0,607448
28,238686,,607448
29,240665,,607448
30,243474,,607448
31,262794,,607448
32,274637,,607448
33,276381,,607448
34,279315,,607448
35,279337,,607448
36,285232,,607448
37,288350,,607448
38,307913,,607448
39,312062,,607448
40,312890,,607448
41,324854,,607448
42,355998,,607448
43,361393,,607448
44,402249,,607448
45,475511,,607448
46,503602,,607448
47,517074,,607448
48,531986,,607448
49,572579,,607448
50,576718,,607448
51,581713,,607448
52,582253,,607448
53,585249,,607448
54,607773,,607448
55,674887,,607448
56,675728,,607448
57,677241,,607448
58,678098,,607448
59,688515,,607448
60,767016,,607448
61,784056,,607448
62,791483,,607448
63,800475,,607448
64,814387,,607448
65,830425,,607448
66,846634,,607448
67,853492,,607448
68,866491,,607448
69,913130,,607448
70,925066,,607448
71,935739,,607448
72,960874,,607448
73,993494,,607448
74,1580437,,607448
75,2034242,,607448
76,3125793,,607448
77,3379291,,607448
