,follower_id,influencer_id,himself_id
0,2411,33161.0,423829
1,20971,77698.0,423829
2,21747,82584.0,423829
3,24329,127369.0,423829
4,30925,128099.0,423829
5,33161,133832.0,423829
6,36645,162677.0,423829
7,36987,170690.0,423829
8,42234,211758.0,423829
9,45379,259529.0,423829
10,45560,346637.0,423829
11,46925,354105.0,423829
12,47033,359199.0,423829
13,49367,490416.0,423829
14,57205,646353.0,423829
15,58438,950571.0,423829
16,66570,,423829
17,67528,,423829
18,70534,,423829
19,71970,,423829
20,74397,,423829
21,76057,,423829
22,81231,,423829
23,90188,,423829
24,94210,,423829
25,96744,,423829
26,97529,,423829
27,103600,,423829
28,104388,,423829
29,105329,,423829
30,110161,,423829
31,110541,,423829
32,120953,,423829
33,128099,,423829
34,131650,,423829
35,133119,,423829
36,138833,,423829
37,139566,,423829
38,148355,,423829
39,149946,,423829
40,152312,,423829
41,153103,,423829
42,156886,,423829
43,158849,,423829
44,165162,,423829
45,169124,,423829
46,169948,,423829
47,175553,,423829
48,176859,,423829
49,177588,,423829
50,179698,,423829
51,180023,,423829
52,183139,,423829
53,184637,,423829
54,192260,,423829
55,196969,,423829
56,197460,,423829
57,212614,,423829
58,216294,,423829
59,221803,,423829
60,223701,,423829
61,226380,,423829
62,228058,,423829
63,228299,,423829
64,233862,,423829
65,234374,,423829
66,243527,,423829
67,245039,,423829
68,246487,,423829
69,250435,,423829
70,254535,,423829
71,255887,,423829
72,257141,,423829
73,257544,,423829
74,273105,,423829
75,275832,,423829
76,276917,,423829
77,290775,,423829
78,292915,,423829
79,295756,,423829
80,317417,,423829
81,326249,,423829
82,332257,,423829
83,345168,,423829
84,345426,,423829
85,350892,,423829
86,377060,,423829
87,378624,,423829
88,402351,,423829
89,420539,,423829
90,463527,,423829
91,502199,,423829
92,503247,,423829
93,503602,,423829
94,522377,,423829
95,536122,,423829
96,548338,,423829
97,568368,,423829
98,572737,,423829
99,582313,,423829
100,582930,,423829
101,585092,,423829
102,595101,,423829
103,600228,,423829
104,601430,,423829
105,614982,,423829
106,617196,,423829
107,634377,,423829
108,642542,,423829
109,645612,,423829
110,658346,,423829
111,672011,,423829
112,674011,,423829
113,674332,,423829
114,677991,,423829
115,680003,,423829
116,737969,,423829
117,741236,,423829
118,741525,,423829
119,745316,,423829
120,746010,,423829
121,746731,,423829
122,753004,,423829
123,753685,,423829
124,757665,,423829
125,759694,,423829
126,761064,,423829
127,764702,,423829
128,767404,,423829
129,767741,,423829
130,768027,,423829
131,768367,,423829
132,781932,,423829
133,785380,,423829
134,785500,,423829
135,789775,,423829
136,790814,,423829
137,791318,,423829
138,795271,,423829
139,796166,,423829
140,797470,,423829
141,798326,,423829
142,804559,,423829
143,809334,,423829
144,814036,,423829
145,845196,,423829
146,848913,,423829
147,882950,,423829
148,889276,,423829
149,921542,,423829
150,930204,,423829
151,934305,,423829
152,944293,,423829
153,949619,,423829
154,949820,,423829
155,957296,,423829
156,961688,,423829
157,963992,,423829
158,988386,,423829
159,1072783,,423829
