,artist_id,popularity,count,follower_num,entropy_weight
0,754032,48.06075334,823,615,0.00945139564306695
1,66915,30.86080586,1092,389,0.007291914890654141
2,894465,34.57391304,1035,319,0.0063016138075785
3,41874,27.95774648,994,186,0.00457303348608295
4,180228,33.39191919,990,166,0.00431888452611818
5,139026,41.41715976,676,221,0.0042735548305395
6,792507,26.00438276,1369,71,0.0040224450199742605
7,423829,22.70023148,864,160,0.0039541884861724295
8,531986,41.72869955,446,238,0.0039536461864436
9,816890,26.61413043,1104,112,0.00391687914928125
10,79016,15.62100457,1095,106,0.00382111299925134
11,100160,29.97737557,442,192,0.00337800274312295
12,316834,32.38560886,542,169,0.00332570941712759
13,577627,29.76833977,518,149,0.00302456873784217
14,354105,42.34579439,214,201,0.002965955518861
15,622805,34.48066298,543,138,0.0029475332182714
16,858827,32.54778555,858,77,0.0029222378702535396
17,184502,21.38122827,863,75,0.00290776167355914
18,346336,45.28985507,414,142,0.00270146824219478
19,549797,30.85635359,181,184,0.0026798530128952897
20,840402,35.92090395,177,181,0.00263444984380361
21,175553,22.72727273,506,118,0.00261535626811552
22,771438,35.67272727,220,171,0.0026104509838434397
23,631774,27.98473282,262,158,0.0025463702882486104
24,379125,38.60544218,294,148,0.00249845309455589
25,238115,29.12911392,395,128,0.00248380715264338
26,446509,40.02941176,476,112,0.0024748784227477
27,120521,29.72146119,219,159,0.00246001954409997
28,182900,34.87437186,796,47,0.00241154389251658
29,128099,33.38349515,206,154,0.00236918604620598
30,813392,19.28088578,858,26,0.00229418946364119
31,75747,37.12977099,262,136,0.0022773204926817103
32,490004,34.47972973,296,127,0.0022446111175313302
33,796734,38.0915493,568,76,0.0022439818758518398
34,617196,35.23580786,229,135,0.00218893726023297
35,26350,8.936034115,938,1,0.0021697483070329897
36,927555,30.86635945,434,95,0.0021683791554043697
37,467203,48.61930295,373,101,0.00210407595083984
38,357406,46.11538462,312,110,0.0020740665319559
39,219203,40.35698448,451,81,0.00203670892310154
40,583959,31.80970874,515,66,0.00199853132427185
41,132940,4.088888889,855,2,0.00199061331249599
42,84209,35.87958115,382,89,0.0019757780196758
43,418740,36.10526316,38,153,0.00197103675946436
44,414251,33.24691358,324,99,0.00196493089634955
45,270491,36.51304348,230,116,0.00195804087303145
46,411761,28.67486819,569,52,0.0019503287714499802
47,803752,18.58724428,831,1,0.0019249849914371399
48,988440,32.39961014,513,60,0.0019203164782447602
49,46861,27.57286432,199,113,0.00184880390536978
50,608701,28.87564767,193,113,0.0018351748039166101
51,137390,31.93646409,362,80,0.00181876673067908
52,361393,41.02666667,300,90,0.00180020095150805
53,325459,36.84567901,324,85,0.00179343761703135
54,490416,18.48676171,491,51,0.00175745147863005
55,307461,34.97613365,419,63,0.00174139293401731
56,131650,36.22281167,377,68,0.00170640693781916
57,317093,24.41909814,377,65,0.0016680742168566302
58,410219,33.02139037,187,100,0.00166223911126554
59,200791,30.61797753,445,50,0.0016409497954416302
60,211758,16.97,200,95,0.00162869278717949
61,562304,35.33333333,78,116,0.00160846391833348
62,530745,44.2,320,70,0.0016009400702432
63,899530,46.0,242,83,0.00158151966363826
64,944084,40.73943662,426,47,0.00156170062731866
65,944310,28.71755725,262,77,0.00155162844493496
66,824022,27.29591837,196,88,0.00153482482303915
67,104714,36.11363636,88,108,0.0015332956999189698
68,852855,39.21052632,114,103,0.00153204696102684
69,192382,31.63013699,146,95,0.00150640063121411
70,38490,32.26066351,211,82,0.00149624191301924
71,237205,47.44491525,236,77,0.0014942170482131901
72,574772,48.84,300,65,0.00149413768034137
73,883318,47.77625571,438,39,0.00149191833514346
74,489303,27.4047619,84,105,0.00148615737882724
75,114342,43.51428571,245,74,0.0014775660003553401
76,69402,43.1320132,606,5,0.0014599588181533698
77,276085,29.99038462,104,99,0.00145876910430724
78,246611,36.91735537,242,73,0.00145755641543226
79,538677,32.61403509,114,97,0.0014575245270837401
80,187478,36.01036269,386,46,0.00145686813810228
81,154544,47.9252669,281,65,0.0014503439017539998
82,604852,40.34090909,264,67,0.0014348714432706401
83,204901,15.3648294,381,45,0.00143049099344435
84,489316,14.7406639,482,26,0.0014292421347838699
85,91650,32.25,96,93,0.00136697138210681
86,290812,39.49295775,142,84,0.0013630947573390199
87,204386,35.33116883,308,52,0.00135116208423495
88,239859,10.83918669,541,7,0.00133102783935102
89,607448,36.56129032,155,78,0.00131891932978197
90,98465,35.37623762,202,69,0.00131627982961667
91,144458,31.06741573,178,73,0.00130969172946579
92,162677,13.88429752,242,61,0.00130727191203661
93,112462,38.97368421,76,91,0.00129727720085226
94,138699,30.92920354,226,63,0.00129720107582664
95,59156,24.42692308,260,54,0.00126400640231075
96,144847,45.16666667,312,42,0.00123877759312131
97,22124,40.20238095,168,69,0.00123872621705413
98,745964,31.42857143,252,53,0.00123421558939104
99,334193,39.92647059,136,74,0.00122653711420474
100,43714,42.55390335,269,49,0.0012255703271074302
101,239921,34.65543071,267,49,0.00121997755004627
102,199995,30.45454545,330,37,0.0012168943410100401
103,33161,32.32142857,168,67,0.00121316958193925
104,5953,35.77777778,162,68,0.0012120936862014301
105,85915,40.14213198,394,23,0.0011932958415273801
